,date,end_id,amount
342,2016-01-08,Cluster 3,840
343,2016-01-08,Cluster 30,27
344,2016-01-08,Cluster 31,34
345,2016-01-08,Cluster 32,67
346,2016-01-08,Cluster 33,42
347,2016-01-08,Cluster 34,52
348,2016-01-08,Cluster 35,17
349,2016-01-08,Cluster 36,20
350,2016-01-08,Cluster 37,19
351,2016-01-08,Cluster 38,33
352,2016-01-08,Cluster 39,73
353,2016-01-08,Cluster 4,1059
354,2016-01-08,Cluster 40,2
355,2016-01-08,Cluster 41,4
356,2016-01-08,Cluster 42,14
357,2016-01-08,Cluster 43,4
358,2016-01-08,Cluster 44,7
359,2016-01-08,Cluster 45,1214
360,2016-01-08,Cluster 46,7
361,2016-01-08,Cluster 5,1342
362,2016-01-08,Cluster 6,3671
363,2016-01-08,Cluster 7,988
364,2016-01-08,Cluster 8,4256
365,2016-01-08,Cluster 9,698
366,2016-01-09,Cluster 1,1236
367,2016-01-09,Cluster 10,109
368,2016-01-09,Cluster 11,185
369,2016-01-09,Cluster 12,220
370,2016-01-09,Cluster 13,186
371,2016-01-09,Cluster 14,545
372,2016-01-09,Cluster 15,662
373,2016-01-09,Cluster 16,12
374,2016-01-09,Cluster 17,187
375,2016-01-09,Cluster 18,607
376,2016-01-09,Cluster 19,161
377,2016-01-09,Cluster 2,1596
378,2016-01-09,Cluster 20,92
379,2016-01-09,Cluster 21,528
380,2016-01-09,Cluster 22,181
381,2016-01-09,Cluster 23,250
382,2016-01-09,Cluster 24,35
383,2016-01-09,Cluster 25,1227
384,2016-01-09,Cluster 26,573
385,2016-01-09,Cluster 27,131
386,2016-01-09,Cluster 28,21
387,2016-01-09,Cluster 29,4
388,2016-01-09,Cluster 3,1474
389,2016-01-09,Cluster 30,30
390,2016-01-09,Cluster 31,41
391,2016-01-09,Cluster 32,55
392,2016-01-09,Cluster 33,41
393,2016-01-09,Cluster 34,38
394,2016-01-09,Cluster 35,17
395,2016-01-09,Cluster 36,22
396,2016-01-09,Cluster 37,29
397,2016-01-09,Cluster 38,26
398,2016-01-09,Cluster 39,87
399,2016-01-09,Cluster 4,1044
400,2016-01-09,Cluster 40,2
401,2016-01-09,Cluster 41,7
402,2016-01-09,Cluster 42,3
403,2016-01-09,Cluster 43,6
404,2016-01-09,Cluster 44,12
405,2016-01-09,Cluster 45,751
406,2016-01-09,Cluster 46,7
407,2016-01-09,Cluster 5,1055
408,2016-01-09,Cluster 6,2818
409,2016-01-09,Cluster 7,1318
410,2016-01-09,Cluster 8,3290
411,2016-01-09,Cluster 9,407
412,2016-01-10,Cluster 1,1129
413,2016-01-10,Cluster 10,62
414,2016-01-10,Cluster 11,138
415,2016-01-10,Cluster 12,221
416,2016-01-10,Cluster 13,150
417,2016-01-10,Cluster 14,459
418,2016-01-10,Cluster 15,511
419,2016-01-10,Cluster 16,18
420,2016-01-10,Cluster 17,176
421,2016-01-10,Cluster 18,669
422,2016-01-10,Cluster 19,130
423,2016-01-10,Cluster 2,1641
424,2016-01-10,Cluster 20,95
425,2016-01-10,Cluster 21,500
426,2016-01-10,Cluster 22,120
427,2016-01-10,Cluster 23,190
428,2016-01-10,Cluster 24,33
429,2016-01-10,Cluster 25,1184
430,2016-01-10,Cluster 26,473
431,2016-01-10,Cluster 27,133
432,2016-01-10,Cluster 28,17
433,2016-01-10,Cluster 29,5
434,2016-01-10,Cluster 3,1032
435,2016-01-10,Cluster 30,21
436,2016-01-10,Cluster 31,26
437,2016-01-10,Cluster 32,42
438,2016-01-10,Cluster 33,34
439,2016-01-10,Cluster 34,40
440,2016-01-10,Cluster 35,13
441,2016-01-10,Cluster 36,10
442,2016-01-10,Cluster 37,20
443,2016-01-10,Cluster 38,21
444,2016-01-10,Cluster 39,51
445,2016-01-10,Cluster 4,811
446,2016-01-10,Cluster 40,5
447,2016-01-10,Cluster 41,3
448,2016-01-10,Cluster 42,3
449,2016-01-10,Cluster 43,5
450,2016-01-10,Cluster 44,9
451,2016-01-10,Cluster 45,435
452,2016-01-10,Cluster 46,1
453,2016-01-10,Cluster 5,1051
454,2016-01-10,Cluster 6,2534
455,2016-01-10,Cluster 7,1203
456,2016-01-10,Cluster 8,3077
457,2016-01-10,Cluster 9,359
458,2016-01-11,Cluster 1,1090
459,2016-01-11,Cluster 10,103
460,2016-01-11,Cluster 11,189
461,2016-01-11,Cluster 12,201
462,2016-01-11,Cluster 13,197
463,2016-01-11,Cluster 14,401
464,2016-01-11,Cluster 15,557
465,2016-01-11,Cluster 16,16
466,2016-01-11,Cluster 17,181
467,2016-01-11,Cluster 18,459
468,2016-01-11,Cluster 19,164
469,2016-01-11,Cluster 2,1020
470,2016-01-11,Cluster 20,113
471,2016-01-11,Cluster 21,566
472,2016-01-11,Cluster 22,162
473,2016-01-11,Cluster 23,202
474,2016-01-11,Cluster 24,37
475,2016-01-11,Cluster 25,1453
476,2016-01-11,Cluster 26,745
477,2016-01-11,Cluster 27,207
478,2016-01-11,Cluster 28,24
479,2016-01-11,Cluster 29,7
480,2016-01-11,Cluster 3,632
481,2016-01-11,Cluster 30,25
482,2016-01-11,Cluster 31,48
483,2016-01-11,Cluster 32,52
484,2016-01-11,Cluster 33,41
485,2016-01-11,Cluster 34,52
486,2016-01-11,Cluster 35,20
487,2016-01-11,Cluster 36,20
488,2016-01-11,Cluster 37,20
489,2016-01-11,Cluster 38,30
490,2016-01-11,Cluster 39,68
491,2016-01-11,Cluster 4,1138
492,2016-01-11,Cluster 40,2
493,2016-01-11,Cluster 41,2
494,2016-01-11,Cluster 42,11
495,2016-01-11,Cluster 43,5
496,2016-01-11,Cluster 44,8
497,2016-01-11,Cluster 45,1469
498,2016-01-11,Cluster 46,3
499,2016-01-11,Cluster 5,1780
500,2016-01-11,Cluster 6,4672
501,2016-01-11,Cluster 7,974
502,2016-01-11,Cluster 8,6136
503,2016-01-11,Cluster 9,996
504,2016-01-12,Cluster 1,1291
505,2016-01-12,Cluster 10,85
506,2016-01-12,Cluster 11,191
507,2016-01-12,Cluster 12,255
508,2016-01-12,Cluster 13,189
509,2016-01-12,Cluster 14,451
510,2016-01-12,Cluster 15,590
511,2016-01-12,Cluster 16,11
512,2016-01-12,Cluster 17,189
513,2016-01-12,Cluster 18,533
514,2016-01-12,Cluster 19,141
515,2016-01-12,Cluster 2,1179
516,2016-01-12,Cluster 20,111
517,2016-01-12,Cluster 21,630
518,2016-01-12,Cluster 22,132
519,2016-01-12,Cluster 23,200
520,2016-01-12,Cluster 24,46
521,2016-01-12,Cluster 25,1804
522,2016-01-12,Cluster 26,1202
523,2016-01-12,Cluster 27,215
524,2016-01-12,Cluster 28,26
525,2016-01-12,Cluster 29,2
526,2016-01-12,Cluster 3,829
527,2016-01-12,Cluster 30,22
528,2016-01-12,Cluster 31,37
529,2016-01-12,Cluster 32,72
530,2016-01-12,Cluster 33,41
531,2016-01-12,Cluster 34,62
532,2016-01-12,Cluster 35,8
533,2016-01-12,Cluster 36,17
534,2016-01-12,Cluster 37,31
535,2016-01-12,Cluster 38,39
536,2016-01-12,Cluster 39,41
537,2016-01-12,Cluster 4,1601
538,2016-01-12,Cluster 40,1
539,2016-01-12,Cluster 41,5
540,2016-01-12,Cluster 42,10
541,2016-01-12,Cluster 43,7
542,2016-01-12,Cluster 44,11
543,2016-01-12,Cluster 45,1925
544,2016-01-12,Cluster 46,4
545,2016-01-12,Cluster 5,2025
546,2016-01-12,Cluster 6,5767
547,2016-01-12,Cluster 7,1081
548,2016-01-12,Cluster 8,7668
549,2016-01-12,Cluster 9,1315
550,2016-01-13,Cluster 1,1242
551,2016-01-13,Cluster 10,107
552,2016-01-13,Cluster 11,187
553,2016-01-13,Cluster 12,278
554,2016-01-13,Cluster 13,196
555,2016-01-13,Cluster 14,430
556,2016-01-13,Cluster 15,635
557,2016-01-13,Cluster 16,27
558,2016-01-13,Cluster 17,166
559,2016-01-13,Cluster 18,501
560,2016-01-13,Cluster 19,149
561,2016-01-13,Cluster 2,1099
562,2016-01-13,Cluster 20,118
563,2016-01-13,Cluster 21,588
564,2016-01-13,Cluster 22,151
565,2016-01-13,Cluster 23,185
566,2016-01-13,Cluster 24,55
567,2016-01-13,Cluster 25,1994
568,2016-01-13,Cluster 26,1162
569,2016-01-13,Cluster 27,237
570,2016-01-13,Cluster 28,24
571,2016-01-13,Cluster 29,6
572,2016-01-13,Cluster 3,878
573,2016-01-13,Cluster 30,37
574,2016-01-13,Cluster 31,24
575,2016-01-13,Cluster 32,47
576,2016-01-13,Cluster 33,32
577,2016-01-13,Cluster 34,49
578,2016-01-13,Cluster 35,16
579,2016-01-13,Cluster 36,14
580,2016-01-13,Cluster 37,15
581,2016-01-13,Cluster 38,24
582,2016-01-13,Cluster 39,49
583,2016-01-13,Cluster 4,1497
584,2016-01-13,Cluster 40,2
585,2016-01-13,Cluster 41,6
586,2016-01-13,Cluster 42,18
587,2016-01-13,Cluster 43,4
588,2016-01-13,Cluster 44,13
589,2016-01-13,Cluster 45,2164
590,2016-01-13,Cluster 46,1
591,2016-01-13,Cluster 5,2363
592,2016-01-13,Cluster 6,6045
593,2016-01-13,Cluster 7,1196
594,2016-01-13,Cluster 8,7969
595,2016-01-13,Cluster 9,1313
596,2016-01-14,Cluster 1,1321
597,2016-01-14,Cluster 10,96
598,2016-01-14,Cluster 11,237
599,2016-01-14,Cluster 12,278
600,2016-01-14,Cluster 13,203
601,2016-01-14,Cluster 14,500
602,2016-01-14,Cluster 15,594
603,2016-01-14,Cluster 16,18
604,2016-01-14,Cluster 17,195
605,2016-01-14,Cluster 18,471
