,date,start_id,amount
359,2016-01-08,Cluster 44,3
360,2016-01-08,Cluster 45,1343
361,2016-01-08,Cluster 46,2
362,2016-01-08,Cluster 5,1530
363,2016-01-08,Cluster 6,4430
364,2016-01-08,Cluster 7,844
365,2016-01-08,Cluster 8,5182
366,2016-01-08,Cluster 9,645
367,2016-01-09,Cluster 1,1378
368,2016-01-09,Cluster 10,37
369,2016-01-09,Cluster 11,107
370,2016-01-09,Cluster 12,160
371,2016-01-09,Cluster 13,24
372,2016-01-09,Cluster 14,309
373,2016-01-09,Cluster 15,555
374,2016-01-09,Cluster 16,4
375,2016-01-09,Cluster 17,113
376,2016-01-09,Cluster 18,402
377,2016-01-09,Cluster 19,206
378,2016-01-09,Cluster 2,1274
379,2016-01-09,Cluster 20,35
380,2016-01-09,Cluster 21,224
381,2016-01-09,Cluster 22,82
382,2016-01-09,Cluster 23,113
383,2016-01-09,Cluster 24,24
384,2016-01-09,Cluster 25,1506
385,2016-01-09,Cluster 26,307
386,2016-01-09,Cluster 27,66
387,2016-01-09,Cluster 28,18
388,2016-01-09,Cluster 29,2
389,2016-01-09,Cluster 3,2332
390,2016-01-09,Cluster 30,31
391,2016-01-09,Cluster 31,24
392,2016-01-09,Cluster 32,34
393,2016-01-09,Cluster 33,37
394,2016-01-09,Cluster 34,30
395,2016-01-09,Cluster 35,4
396,2016-01-09,Cluster 36,11
397,2016-01-09,Cluster 37,19
398,2016-01-09,Cluster 38,23
399,2016-01-09,Cluster 39,33
400,2016-01-09,Cluster 4,1066
401,2016-01-09,Cluster 40,3
402,2016-01-09,Cluster 41,3
403,2016-01-09,Cluster 43,3
404,2016-01-09,Cluster 44,1
405,2016-01-09,Cluster 45,1027
406,2016-01-09,Cluster 46,1
407,2016-01-09,Cluster 5,892
408,2016-01-09,Cluster 6,3383
409,2016-01-09,Cluster 7,1391
410,2016-01-09,Cluster 8,3807
411,2016-01-09,Cluster 9,227
412,2016-01-10,Cluster 1,1223
413,2016-01-10,Cluster 10,29
414,2016-01-10,Cluster 11,83
415,2016-01-10,Cluster 12,88
416,2016-01-10,Cluster 13,22
417,2016-01-10,Cluster 14,234
418,2016-01-10,Cluster 15,332
419,2016-01-10,Cluster 16,4
420,2016-01-10,Cluster 17,99
421,2016-01-10,Cluster 18,323
422,2016-01-10,Cluster 19,164
423,2016-01-10,Cluster 2,1159
424,2016-01-10,Cluster 20,22
425,2016-01-10,Cluster 21,145
426,2016-01-10,Cluster 22,58
427,2016-01-10,Cluster 23,80
428,2016-01-10,Cluster 24,22
429,2016-01-10,Cluster 25,1882
430,2016-01-10,Cluster 26,205
431,2016-01-10,Cluster 27,67
432,2016-01-10,Cluster 28,5
433,2016-01-10,Cluster 29,4
434,2016-01-10,Cluster 3,2337
435,2016-01-10,Cluster 30,14
436,2016-01-10,Cluster 31,17
437,2016-01-10,Cluster 32,30
438,2016-01-10,Cluster 33,20
439,2016-01-10,Cluster 34,19
440,2016-01-10,Cluster 35,8
441,2016-01-10,Cluster 36,8
442,2016-01-10,Cluster 37,8
443,2016-01-10,Cluster 38,20
444,2016-01-10,Cluster 39,22
445,2016-01-10,Cluster 4,790
446,2016-01-10,Cluster 40,3
