,date,amount,Type,MA,MS
417,02/23/2017,26968,0,22438.85714285714,4950.591393243605
418,02/24/2017,28084,0,22550.428571428572,5085.4489430512895
419,02/25/2017,21666,0,22721.428571428572,5023.543366228809
420,02/26/2017,17164,0,22531.428571428572,5230.950960617149
421,02/27/2017,27336,0,24424.14285714286,3891.787268448475
422,02/28/2017,35839,0,26126.14285714286,5782.851673369373
423,03/01/2017,39406,0,28066.14285714286,7643.816246452048
424,03/02/2017,36065,0,29365.714285714286,8180.476325053594
425,03/03/2017,31982,0,29922.571428571428,8211.300015976849
426,03/04/2017,23048,1,30120.0,7993.420231665569
427,03/05/2017,17896,0,30224.571428571428,7798.079846072028
428,03/06/2017,27559,0,30256.428571428572,7784.756661946136
429,03/07/2017,36555,0,30358.714285714286,7874.518815231127
430,03/08/2017,36138,0,29891.85714285714,7326.542554952115
431,03/09/2017,35234,0,29773.14285714286,7215.740905099369
432,03/10/2017,35832,1,30323.14285714286,7551.100370775392
433,03/11/2017,25689,0,30700.428571428572,7184.078063262402
434,03/12/2017,18222,0,30747.0,7087.647376480702
435,03/13/2017,28570,0,30891.428571428572,7021.852078978029
436,03/14/2017,16598,0,28040.428571428572,8278.154904267501
437,03/15/2017,36347,1,28070.285714285714,8312.533883926671
438,03/16/2017,39311,1,28652.714285714286,9011.563048185872
439,03/17/2017,37852,0,28941.285714285714,9307.267871835198
440,03/18/2017,30470,0,29624.285714285714,9203.673120269013
441,03/19/2017,21767,0,30130.714285714286,8545.711628536015
442,03/20/2017,29147,1,30213.14285714286,8530.918540395143
443,03/21/2017,36108,1,33000.28571428572,6213.687786231487
444,03/22/2017,39007,1,33380.28571428572,6525.958619602361
445,03/23/2017,36017,1,32909.71428571428,6134.025913277702
446,03/24/2017,33533,0,32292.714285714286,5759.848340430706
447,03/25/2017,25929,1,31644.0,6235.434734910934
448,03/25/2017,25929,1,32238.571428571428,5258.57027011285
449,03/26/2017,20951,0,31067.714285714286,6759.8135751978425
450,03/27/2017,30946,0,30330.285714285714,6389.760108024065
451,03/28/2017,39565,0,30410.0,6518.234704785272
452,03/29/2017,39311,0,30880.571428571428,7084.7676004496725
453,03/30/2017,38951,0,31654.571428571428,7692.707582664338
454,03/31/2017,38996,0,33521.28571428572,7657.115965215777
455,04/01/2017,27584,0,33757.71428571428,7405.018787153458
456,04/02/2017,23318,0,34095.857142857145,6747.606228102248
457,04/03/2017,34444,0,34595.57142857143,6603.442810563394
458,04/04/2017,37363,1,34281.0,6375.780945630668
459,04/05/2017,29061,0,32816.71428571428,6202.715365447808
460,04/06/2017,39099,0,32837.857142857145,6227.3133701078705
461,04/07/2017,34685,0,32222.0,5708.339571772784
462,04/08/2017,24513,0,31783.285714285714,6219.340659434541
463,04/09/2017,19260,0,31203.571428571428,7244.541988217615
464,04/10/2017,26085,1,30009.428571428572,7310.014679810707
465,04/11/2017,31067,0,29110.0,6608.05732925094
466,04/12/2017,32707,0,29630.85714285714,6745.807251633482
467,04/13/2017,26233,0,27792.85714285714,5343.024874499853
468,04/14/2017,24505,0,26338.571428571428,4468.244094240445
469,04/15/2017,24286,1,26306.14285714286,4484.4956769062455
470,04/15/2017,24286,1,27024.14285714286,3451.7722225243688
471,04/16/2017,16426,0,25644.285714285714,5316.624734869755
472,04/17/2017,21642,0,24297.85714285714,4890.830925605324
473,04/18/2017,29950,0,23904.0,4156.692074234064
474,04/19/2017,34021,0,25016.571428571428,5655.871222518649
475,04/20/2017,38388,0,26999.85714285714,7560.12253931933
476,04/21/2017,36349,0,28723.14285714286,8187.247938686368
477,04/22/2017,28421,1,29313.85714285714,7959.759448387298
478,04/22/2017,28421,1,31027.428571428572,5690.528178682659
479,04/23/2017,17824,0,30482.0,6812.420959786157
480,04/24/2017,29017,0,30348.714285714286,6833.65838367432
481,04/25/2017,36866,0,30755.14285714286,7165.03504128609
482,04/26/2017,37300,0,30599.714285714286,6981.307225114003
483,04/27/2017,39502,0,31050.14285714286,7496.75604130597
484,04/28/2017,35241,0,32024.428571428572,7541.157843398324
485,04/29/2017,28492,1,32034.571428571428,7535.54912524947
486,04/29/2017,28492,1,33558.57142857143,4744.443130552635
487,04/30/2017,19668,0,32223.0,7010.6382258203685
488,05/01/2017,27685,1,30911.428571428572,6854.302149189322
489,05/01/2017,27685,1,29537.85714285714,6301.823213128419
490,05/02/2017,34321,0,28797.714285714286,5132.21017088112
491,05/03/2017,37011,0,29050.571428571428,5530.703115552428
492,05/04/2017,36926,0,30255.428571428572,6259.40185792924
493,05/05/2017,32205,0,30785.85714285714,6242.359821642577
494,05/06/2017,23302,0,31305.0,5233.181664468925
495,05/07/2017,16371,0,29688.714285714286,7702.277167917872
496,05/08/2017,22815,0,28993.0,8121.939320958616
