amount,Type,date,TimeSeries,CommPCA,CommAutoEncoder,InOutFlowAutoEncoder,InOutFlowPCA,Comm,city
2067159.0,,2017-06-13,False,False,False,False,False,False,Taipei
2051582.0,,2017-06-14,False,False,False,False,False,False,Taipei
2149397.0,,2017-06-15,False,False,False,True,False,False,Taipei
2273795.0,,2017-06-16,False,False,False,True,False,False,Taipei
1744245.0,,2017-06-17,True,False,False,True,False,True,Taipei
1503628.0,,2017-06-18,False,False,False,True,False,False,Taipei
2044528.0,,2017-06-19,False,False,False,False,False,False,Taipei
2066138.0,,2017-06-20,False,False,False,False,False,False,Taipei
2114792.0,,2017-06-21,False,False,False,False,False,False,Taipei
2140239.0,,2017-06-22,False,False,False,False,False,False,Taipei
2300609.0,,2017-06-23,False,False,False,False,False,False,Taipei
1940613.0,,2017-06-24,False,False,False,False,False,False,Taipei
1663229.0,,2017-06-25,False,False,False,False,False,True,Taipei
2013197.0,,2017-06-26,False,False,False,False,False,False,Taipei
2050309.0,,2017-06-27,False,False,False,False,False,False,Taipei
2071061.0,,2017-06-28,False,False,False,False,False,False,Taipei
2086858.0,,2017-06-29,False,False,False,False,False,False,Taipei
2314846.0,,2017-06-30,False,False,False,True,False,True,Taipei
1820472.0,,2017-07-01,False,False,False,False,False,False,Taipei
1642148.0,,2017-07-02,False,False,True,False,False,True,Taipei
2024841.0,,2017-07-03,False,False,False,False,False,False,Taipei
2054641.0,,2017-07-04,False,False,False,False,False,False,Taipei
2106355.0,,2017-07-05,False,False,False,False,False,False,Taipei
2119320.0,,2017-07-06,False,False,False,False,False,False,Taipei
2251187.0,,2017-07-07,False,False,False,False,False,False,Taipei
1912798.0,,2017-07-08,False,False,False,False,False,False,Taipei
1662013.0,,2017-07-09,False,False,False,False,False,False,Taipei
2073386.0,Extreme Weather,2017-07-10,False,False,False,False,False,False,Taipei
2103855.0,,2017-07-11,False,False,False,False,False,False,Taipei
2138580.0,,2017-07-12,False,False,False,False,False,False,Taipei
2163060.0,,2017-07-13,False,False,False,False,False,False,Taipei
2252161.0,,2017-07-14,False,False,False,False,False,True,Taipei
1924814.0,,2017-07-15,False,False,False,True,True,True,Taipei
1657279.0,,2017-07-16,False,False,False,False,True,True,Taipei
2046562.0,,2017-07-17,False,False,False,False,False,False,Taipei
