,Component,Date,Value
533,Component6,2017-02-03,-0.22394286
534,Component7,2017-02-03,0.6345701
535,Component8,2017-02-03,0.28114012
536,Component9,2017-02-03,0.43751183
537,Component10,2017-02-03,0.11784301
538,Component11,2017-02-03,-1.2918112
539,Component12,2017-02-03,-0.13607672
540,Component13,2017-02-03,0.02735665
541,Component14,2017-02-03,-0.50415516
542,Component15,2017-02-03,-0.964414
543,Component16,2017-02-03,0.4308749
544,Component1,2017-02-04,0.37736562
545,Component2,2017-02-04,0.42407864
546,Component3,2017-02-04,0.31608972
547,Component4,2017-02-04,0.24177769
548,Component5,2017-02-04,-0.01588176
549,Component6,2017-02-04,-0.8423821
550,Component7,2017-02-04,0.62961245
551,Component8,2017-02-04,0.19431701
552,Component9,2017-02-04,0.42933288
553,Component10,2017-02-04,-0.832141
554,Component11,2017-02-04,-0.47221076
555,Component12,2017-02-04,-0.21141659
556,Component13,2017-02-04,-0.37034947
557,Component14,2017-02-04,-0.06160963
558,Component15,2017-02-04,-0.9079870000000001
559,Component16,2017-02-04,0.5529006999999999
560,Component1,2017-02-05,-0.25773782
561,Component2,2017-02-05,0.43812844
562,Component3,2017-02-05,0.39547852
563,Component4,2017-02-05,0.19796003
564,Component5,2017-02-05,0.40140727
565,Component6,2017-02-05,-0.33385858
566,Component7,2017-02-05,0.63660544
567,Component8,2017-02-05,0.31957063
568,Component9,2017-02-05,0.12300062
569,Component10,2017-02-05,-0.18710957
570,Component11,2017-02-05,-0.4160812
571,Component12,2017-02-05,0.134966
572,Component13,2017-02-05,-0.65868783
573,Component14,2017-02-05,0.2432956
574,Component15,2017-02-05,-1.6023694
575,Component16,2017-02-05,0.574184
576,Component1,2017-02-06,0.29798263
577,Component2,2017-02-06,0.53817236
578,Component3,2017-02-06,0.14709917
579,Component4,2017-02-06,0.5065430999999999
580,Component5,2017-02-06,-0.18145943
581,Component6,2017-02-06,0.117181085
582,Component7,2017-02-06,0.602681
583,Component8,2017-02-06,0.5380031
584,Component9,2017-02-06,0.15347020000000003
585,Component10,2017-02-06,0.09755283
586,Component11,2017-02-06,-0.57242036
587,Component12,2017-02-06,-0.12321689999999999
588,Component13,2017-02-06,-0.60945493
589,Component14,2017-02-06,0.077917606
590,Component15,2017-02-06,-1.5966831
591,Component16,2017-02-06,0.39727090000000004
592,Component1,2017-02-07,0.48596525
593,Component2,2017-02-07,0.5127917000000001
594,Component3,2017-02-07,-0.06381336
595,Component4,2017-02-07,0.52793974
596,Component5,2017-02-07,0.17448676
597,Component6,2017-02-07,0.104037255
598,Component7,2017-02-07,0.5959913
599,Component8,2017-02-07,0.40178472
600,Component9,2017-02-07,0.23184723
601,Component10,2017-02-07,0.04349732
602,Component11,2017-02-07,-0.7772091999999999
603,Component12,2017-02-07,0.16248645
604,Component13,2017-02-07,0.014063893999999999
605,Component14,2017-02-07,-0.5436831
606,Component15,2017-02-07,-1.2774389
607,Component16,2017-02-07,0.36468554
608,Component1,2017-02-08,0.35484824
609,Component2,2017-02-08,0.4822549
610,Component3,2017-02-08,0.12042905400000001
611,Component4,2017-02-08,0.48089683
612,Component5,2017-02-08,-0.037259046000000004
613,Component6,2017-02-08,-0.18399066
614,Component7,2017-02-08,0.6201682
615,Component8,2017-02-08,0.38178490000000004
616,Component9,2017-02-08,0.3294875
617,Component10,2017-02-08,-0.13416654
618,Component11,2017-02-08,-0.7360255
619,Component12,2017-02-08,-0.03168096
620,Component13,2017-02-08,-0.34492996
621,Component14,2017-02-08,-0.17536229999999997
622,Component15,2017-02-08,-1.3536162
623,Component16,2017-02-08,0.40230536
