,Component,Date,Value
451,Component4,2016-01-29,-1.1090381999999999
452,Component5,2016-01-29,-1.2537352
453,Component6,2016-01-29,0.19016463
454,Component7,2016-01-29,-1.3940119
455,Component8,2016-01-29,-1.1238555000000001
456,Component9,2016-01-29,0.6678009
457,Component10,2016-01-29,-0.20996271
458,Component11,2016-01-29,0.06497758
459,Component12,2016-01-29,0.18574874
460,Component13,2016-01-29,0.49605858
461,Component14,2016-01-29,-0.50663215
462,Component15,2016-01-29,-0.53254426
463,Component16,2016-01-29,-0.97894025
464,Component1,2016-01-30,-1.3443155
465,Component2,2016-01-30,0.44206655
466,Component3,2016-01-30,-0.17244887
467,Component4,2016-01-30,0.11529987
468,Component5,2016-01-30,-0.15145724
469,Component6,2016-01-30,-0.16660786
470,Component7,2016-01-30,-1.0918306
471,Component8,2016-01-30,-0.68350804
472,Component9,2016-01-30,0.6555584
473,Component10,2016-01-30,-0.19336104
474,Component11,2016-01-30,-0.78565216
475,Component12,2016-01-30,0.12965661
476,Component13,2016-01-30,0.58408546
477,Component14,2016-01-30,0.2799315
478,Component15,2016-01-30,-0.6965781999999999
479,Component16,2016-01-30,-1.3181341
480,Component1,2016-01-31,-1.8247712999999999
481,Component2,2016-01-31,-0.251682
482,Component3,2016-01-31,-0.48872668
483,Component4,2016-01-31,0.30631506
484,Component5,2016-01-31,-0.76973164
485,Component6,2016-01-31,0.1674415
486,Component7,2016-01-31,-1.8679211
487,Component8,2016-01-31,-0.6510609
488,Component9,2016-01-31,0.43621309999999996
489,Component10,2016-01-31,-0.2995717
490,Component11,2016-01-31,-0.810251
491,Component12,2016-01-31,0.5732847
492,Component13,2016-01-31,-0.049096997999999996
493,Component14,2016-01-31,0.27706692
494,Component15,2016-01-31,0.17476045
495,Component16,2016-01-31,-0.6797612
496,Component1,2016-02-01,-0.33782613
497,Component2,2016-02-01,-1.1117747
498,Component3,2016-02-01,0.3996179
499,Component4,2016-02-01,-0.0378464
500,Component5,2016-02-01,-1.260768
501,Component6,2016-02-01,0.40857536
502,Component7,2016-02-01,-1.7110436999999998
503,Component8,2016-02-01,-0.09891781
504,Component9,2016-02-01,0.5192524000000001
505,Component10,2016-02-01,-1.103615
506,Component11,2016-02-01,0.08503595
507,Component12,2016-02-01,0.22857863
508,Component13,2016-02-01,-1.3681143999999998
509,Component14,2016-02-01,-1.5814278
510,Component15,2016-02-01,0.16537860000000001
511,Component16,2016-02-01,-0.50354147
512,Component1,2016-02-02,-0.66859055
513,Component2,2016-02-02,-0.27814454
514,Component3,2016-02-02,0.23084526
515,Component4,2016-02-02,-0.91247624
516,Component5,2016-02-02,-0.6886937
517,Component6,2016-02-02,-0.5151808
518,Component7,2016-02-02,-0.61232543
519,Component8,2016-02-02,-0.76135224
520,Component9,2016-02-02,0.40745145
521,Component10,2016-02-02,-0.5346674
522,Component11,2016-02-02,0.14487864
523,Component12,2016-02-02,-0.2032847
524,Component13,2016-02-02,-0.35730466
525,Component14,2016-02-02,-1.7426665000000001
526,Component15,2016-02-02,-0.34844154
527,Component16,2016-02-02,-0.65071803
528,Component1,2016-02-03,0.10049135
529,Component2,2016-02-03,-0.5483348000000001
530,Component3,2016-02-03,0.59855914
531,Component4,2016-02-03,-1.0806235
532,Component5,2016-02-03,-0.4313566
533,Component6,2016-02-03,0.26737386
534,Component7,2016-02-03,-0.36398712
535,Component8,2016-02-03,-0.9118933000000001
536,Component9,2016-02-03,0.6121673000000001
537,Component10,2016-02-03,-0.12498103
538,Component11,2016-02-03,0.16911067
539,Component12,2016-02-03,-0.44640514
540,Component13,2016-02-03,0.02141169
541,Component14,2016-02-03,-1.2069353
542,Component15,2016-02-03,-0.19918668
543,Component16,2016-02-03,-1.1142058000000001
544,Component1,2016-02-04,0.3919385
545,Component2,2016-02-04,-1.2535828000000002
546,Component3,2016-02-04,0.5214662
547,Component4,2016-02-04,-0.64504063
548,Component5,2016-02-04,-1.5875399
549,Component6,2016-02-04,-0.502513
550,Component7,2016-02-04,-1.0854226
551,Component8,2016-02-04,-0.39843136
552,Component9,2016-02-04,0.47674970000000005
553,Component10,2016-02-04,-0.06879479
554,Component11,2016-02-04,-0.2690575
555,Component12,2016-02-04,-0.27168941
556,Component13,2016-02-04,-0.05405128
557,Component14,2016-02-04,-1.5898176000000002
558,Component15,2016-02-04,-0.6575515000000001
559,Component16,2016-02-04,-0.16197854
560,Component1,2016-02-05,0.28645262
561,Component2,2016-02-05,-0.5213581
562,Component3,2016-02-05,0.48500988
563,Component4,2016-02-05,-0.14664459
564,Component5,2016-02-05,-1.404865
565,Component6,2016-02-05,-1.3340731000000001
566,Component7,2016-02-05,-0.57405627
567,Component8,2016-02-05,-0.92852616
568,Component9,2016-02-05,0.58276594
569,Component10,2016-02-05,-0.7224480999999999
570,Component11,2016-02-05,-0.8553412
571,Component12,2016-02-05,-0.9440552
572,Component13,2016-02-05,0.42198290000000005
573,Component14,2016-02-05,-1.4491796000000001
574,Component15,2016-02-05,-0.49631816
575,Component16,2016-02-05,-0.24459465
576,Component1,2016-02-06,-0.0077200937
577,Component2,2016-02-06,0.02595994
578,Component3,2016-02-06,0.41492233
579,Component4,2016-02-06,0.3203103
580,Component5,2016-02-06,-1.5840100000000001
581,Component6,2016-02-06,-0.17771815
582,Component7,2016-02-06,-1.0726954
583,Component8,2016-02-06,-0.19964397
584,Component9,2016-02-06,0.61237425
585,Component10,2016-02-06,-1.4682205
586,Component11,2016-02-06,-0.38925722
587,Component12,2016-02-06,0.0868783
588,Component13,2016-02-06,0.37212995
589,Component14,2016-02-06,-0.48138964
590,Component15,2016-02-06,0.06258547
591,Component16,2016-02-06,0.15253029999999998
592,Component1,2016-02-07,-1.2477280000000002
593,Component2,2016-02-07,0.37466145
594,Component3,2016-02-07,0.046249665
595,Component4,2016-02-07,0.39921382
596,Component5,2016-02-07,-0.7164866
597,Component6,2016-02-07,-0.22842270000000003
598,Component7,2016-02-07,-0.5312352
599,Component8,2016-02-07,-0.9319332
600,Component9,2016-02-07,0.5663674
601,Component10,2016-02-07,-1.3722545
602,Component11,2016-02-07,-0.6170312
603,Component12,2016-02-07,0.3066991
604,Component13,2016-02-07,0.4787642
605,Component14,2016-02-07,0.20564204
606,Component15,2016-02-07,0.35048440000000003
607,Component16,2016-02-07,-0.124525376
608,Component1,2016-02-08,-1.7436107
609,Component2,2016-02-08,0.30851805
610,Component3,2016-02-08,-1.3705976999999998
611,Component4,2016-02-08,-0.35823262
612,Component5,2016-02-08,-0.48109153
613,Component6,2016-02-08,-0.73933977
614,Component7,2016-02-08,-1.2845241000000003
615,Component8,2016-02-08,0.23889579
616,Component9,2016-02-08,0.10287213
617,Component10,2016-02-08,-0.8633291
618,Component11,2016-02-08,0.28329775
619,Component12,2016-02-08,0.213588
620,Component13,2016-02-08,-0.8204379
621,Component14,2016-02-08,-1.3390056000000001
622,Component15,2016-02-08,-0.8165039000000001
623,Component16,2016-02-08,-0.28325722
624,Component1,2016-02-09,-0.27353066
625,Component2,2016-02-09,-0.9542135
626,Component3,2016-02-09,0.1707879
627,Component4,2016-02-09,-0.9319175
628,Component5,2016-02-09,-0.6933371
629,Component6,2016-02-09,0.06788717
630,Component7,2016-02-09,-1.4058647
631,Component8,2016-02-09,-0.08201758
632,Component9,2016-02-09,0.33629414
633,Component10,2016-02-09,0.083472066
634,Component11,2016-02-09,0.15848987
635,Component12,2016-02-09,0.09828589
636,Component13,2016-02-09,-1.0118146000000001
637,Component14,2016-02-09,-1.4599705
638,Component15,2016-02-09,-0.72628886
639,Component16,2016-02-09,-0.82428336
640,Component1,2016-02-10,-0.94209886
641,Component2,2016-02-10,0.017996711999999998
642,Component3,2016-02-10,-0.5554393
643,Component4,2016-02-10,-0.97984886
644,Component5,2016-02-10,0.15703234
645,Component6,2016-02-10,0.16499388
646,Component7,2016-02-10,-1.1912186000000002
647,Component8,2016-02-10,0.34532678
648,Component9,2016-02-10,0.46137790000000006
649,Component10,2016-02-10,-0.1040753
650,Component11,2016-02-10,0.40812597
651,Component12,2016-02-10,-0.31572393
652,Component13,2016-02-10,-1.2532860000000001
653,Component14,2016-02-10,-1.7014384999999999
654,Component15,2016-02-10,-1.4242972
655,Component16,2016-02-10,-1.6027865
656,Component1,2016-02-11,-0.5242702
657,Component2,2016-02-11,0.16876312
658,Component3,2016-02-11,-0.23895857
659,Component4,2016-02-11,-0.3199676
660,Component5,2016-02-11,-0.27253288
661,Component6,2016-02-11,-0.49143684
662,Component7,2016-02-11,-1.049269
663,Component8,2016-02-11,0.1761316
664,Component9,2016-02-11,0.5986812
665,Component10,2016-02-11,-0.89499384
666,Component11,2016-02-11,0.05685725
667,Component12,2016-02-11,-0.91714054
668,Component13,2016-02-11,-0.22099873
669,Component14,2016-02-11,-1.8996533
670,Component15,2016-02-11,-1.3018889999999999
671,Component16,2016-02-11,-1.1003247
672,Component1,2016-02-12,-0.5328970000000001
673,Component2,2016-02-12,0.5717609
674,Component3,2016-02-12,-0.84637433
675,Component4,2016-02-12,-0.10718346
676,Component5,2016-02-12,-0.17364827
677,Component6,2016-02-12,-1.8813388
678,Component7,2016-02-12,-0.25902066
679,Component8,2016-02-12,0.17177416
680,Component9,2016-02-12,0.5114447
681,Component10,2016-02-12,-0.6480113000000001
682,Component11,2016-02-12,-0.15000634
683,Component12,2016-02-12,-0.8068357
684,Component13,2016-02-12,0.5228304
685,Component14,2016-02-12,-0.69193923
686,Component15,2016-02-12,-1.5896213
687,Component16,2016-02-12,-0.13710485
688,Component1,2016-02-13,0.30261192
689,Component2,2016-02-13,-0.25780514
690,Component3,2016-02-13,0.542263
691,Component4,2016-02-13,0.36744413
